SYMBOL,FULLNAME
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVANTA,Advanta Limited
AEGISCHEM,Aegis Logistics Limited
AFL,Accel Frontline Limited
AGCNET,AGC Networks Limited
AGRODUTCH,Agro Dutch Industries Limited
AHLEAST,Asian Hotels (East) Limited
AHLWEST,Asian Hotels (West) Limited
AHMEDFORGE,Ahmednagar Forgings Limited
AIAENG,AIA Engineering Limited
AIL,Alstom India Limited
AJANTPHARM,Ajanta Pharma Limited
AJMERA,Ajmera Realty & Infra India Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKZOINDIA,Akzo Nobel India Limited
ALBK,Allahabad Bank
ALCHEM,Alchemist Limited
ALEMBICLTD,Alembic Limited
ALKALI,Alkali Metals Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLCARGO,Allcargo Logistics Limited
ALOKTEXT,Alok Industries Limited
ALPSINDUS,Alps Industries Limited
ALSTOMT%26D,Alstom T&D India Limited
AMARAJABAT,Amara Raja Batteries Limited
AMARJOTHI,Amarjothi Spinning Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,AMD Industries Limited
AMRUTANJAN,Amrutanjan Health Care Limited
AMTEKAUTO,Amtek Auto Limited
AMTEKINDIA,Amtek India Limited
AMTL,Advance Metering Technology Limited
ANANTRAJ,Anant Raj Limited
ANDHRABANK,Andhra Bank
ANDHRACEMT,Andhra Cements Limited
ANDHRSUGAR,The Andhra Sugars Limited
ANKITMETAL,Ankit Metal & Power Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
ANSALHSG,Ansal Housing and Construction Limited
ANTGRAPHIC,Antarctica Limited
APARINDS,Apar Industries Limited
APCOTEXIND,Apcotex Industries Limited
APLAPOLLO,APL Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOTYRE,Apollo Tyres Limited
APPAPER,The Andhra Pradesh Paper Mills Limited
APTECHT,Aptech Limited
AQUA,Aqua Logistics Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARIES,Aries Agro Limited
ARROWTEX,Arrow Textiles Limited
ARSHIYA,Arshiya International Limited
ARVIND,Arvind Limited
ARVINDREM,Arvind Remedies Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASAL,Automotive Stampings and Assemblies Limited
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKLEY,Ashok Leyland Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASSAMCO,Assam Company India Limited
ASTEC,Astec LifeSciences Limited
ASTRAL,Astral Poly Technik Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ATFL,Agro Tech Foods Limited
ATLANTA,Atlanta  Limited
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATUL,Atul Limited
ATULAUTO,Atul Auto Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVANTI,Avanti Feeds Limited
AVTNPL,AVT Natural Products Limited
AXIS-IT%26T,Axis-IT&T Limited
AXISBANK,Axis Bank Limited
AXISGOLD,Axis Mutual Fund - Axis Gold ETF
BAFNAPHARM,Bafna Pharmaceuticals Limited
BAGFILMS,B.A.G Films and Media Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCORP,Bajaj Corp Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHIND,Bajaj Hindusthan Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJFINANCE,Bajaj Finance Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALKRISIND,Balkrishna Industries Limited
BALLARPUR,Ballarpur Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BANCOINDIA,Banco Products (I) Limited
BANKBARODA,Bank of Baroda
BANKBEES,Goldman Sachs Banking Index Exchange Traded Scheme
BANKINDIA,Bank of India
BASF,BASF India Limited
BASML,Bannari Amman Spinning Mills Limited
BATAINDIA,Bata India Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BBTC,Bombay Burmah Trading Corporation Limited
BECREL,Best & Crompton Engg. Limited
BEDMUTHA,Bedmutha Industries Limited
BEL,Bharat Electronics Limited
BEML,BEML Limited
BERGEPAINT,Berger Paints (I) Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGLOBAL,Bharatiya Global Infomedia Limited
BGRENERGY,BGR Energy Systems Limited
BHAGYNAGAR,Bhagyanagar India Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARTIARTL,Bharti Airtel Limited
BHEL,Bharat Heavy Electricals Limited
BHUSANSTL,Bhushan Steel Limited
BIL,Bhartiya International Limited
BILPOWER,Bilpower  Limited
BIMETAL,Bimetal Bearings Limited
BINANIIND,Binani Industries Limited
BIOCON,Biocon Limited
BIRLACORPN,Birla Corporation Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BLUEDART,Blue Dart Express Limited
BLUESTARCO,Blue Star Limited
BLUESTINFO,Blue Star Infotech Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,BPL Limited
BRFL,Bombay Rayon Fashions Limited
BRIGADE,Brigade Enterprises Limited
BRITANNIA,Britannia Industries Limited
BROOKS,Brooks Laboratories Limited
BSL,BSL Limited
BSLGOLDETF,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth
BSLIMITED,BS LIMITED
BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
BURNPUR,Burnpur Cement Limited
CADILAHC,Cadila Healthcare Limited
CAIRN,Cairn India Limited
CANBK,Canara Bank
CANDC,C & C Constructions Limited
CANFINHOME,Can Fin Homes Limited
CANTABIL,Cantabil Retail India Limited
CAPF,Capital First Limited
CARBORUNIV,Carborundum Universal Limited
CAREERP,Career Point Limited
CARERATING,Credit Analysis And Research Limited
CASTROL,Castrol India Limited
CCCL,Consolidated Construction Consortium Limited
CCL,CCL Products (India) Limited
CEATLTD,CEAT Limited
CEBBCO,Commercial Engineers & Body Builders Co Limited
CELEBRITY,Celebrity Fashions Limited
CELESTIAL,Celestial Biolabs Limited
CENTENKA,Century Enka Limited
CENTRALBK,Central Bank of India
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CENTURYTEX,Century Textiles & Industries Limited
CERA,Cera Sanitaryware Limited
CESC,CESC Limited
CGCL,Capri Global Capital Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMFALKAL,Chemfab Alkalis Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CILNOVA,CIL Nova Petrochemicals Limited
CIMMCO,Cimmco Limited
CINELINE,Cineline India Limited
CINEMAXIN,Cinemax India Limited
CIPLA,Cipla Limited
CLNINDIA,Clariant Chemicals (India) Limited
CMAHENDRA,C. Mahendra Exports Limited
CMC,CMC Limited
COALINDIA,Coal India Limited
COLPAL,Colgate Palmolive (India) Limited
COMPUAGE,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
CONCOR,Container Corporation of India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CORDSCABLE,Cords Cable Industries Limited
COREEDUTEC,CORE Education & Technologies Limited
COROMANDEL,Coromandel International Limited
CORPBANK,Corporation Bank
COSMOFILMS,Cosmo Films Limited
COX%26KINGS,Cox & Kings Limited
CRESTANI,Crest Animation Studios Limited
CRISIL,CRISIL Limited
CROMPGREAV,Crompton  Greaves Limited
CTE,Cambridge Technology Enterprises Limited
CUB,City Union Bank Limited
CUMMINSIND,Cummins India Limited
CYBERTECH,Cybertech Systems And Software Limited
DAAWAT,LT Foods Limited
DABUR,Dabur India Limited
DALMIABHA,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DATAMATICS,Datamatics Global Services Limited
DBCORP,D.B.Corp Limited
DBREALTY,D B Realty Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCB,Development Credit Bank Limited
DCM,DCM  Limited
DCMSRMCONS,DCM Shriram Consolidated Limited
DCW,DCW Limited
DECCANCE,Deccan Cements Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPIND,Deep Industries Limited
DELTACORP,Delta Corp Limited
DEN,Den Networks Limited
DENABANK,Dena Bank
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANUKA,Dhanuka Agritech Limited
DHARSUGAR,Dharani Sugars & Chemicals Limited
DHFL,Dewan Housing Finance Corporation Limited
DIAPOWER,Diamond Power Infra Ltd
DICIND,DIC India Limited
DIGJAM,Digjam Limited
DISHMAN,Dishman Pharmaceuticals and Chemicals Limited
DISHTV,Dish TV India Limited
DIVISLAB,Divi's Laboratories Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited
DPSCLTD,DPSC Limited
DPTL,Dhunseri Petrochem & Tea Limited
DQE,DQ Entertainment (International) Limited
DREDGECORP,Dredging Corporation of India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DSKULKARNI,DS Kulkarni Developers Limited
DUNCANSLTD,Duncans Industries Limited
DWARKESH,Dwarikesh Sugar Industries Limited
EASTSILK,Eastern Silk Industries Limited
EASUNREYRL,Easun Reyrolle Limited
ECEIND,ECE Industries Limited
ECLERX,eClerx Services Limited
EDELWEISS,Edelweiss Financial Services Limited
EDL,Empee Distilleries Limited
EDSERV,Edserv Softsystems Limited
EDUCOMP,Educomp Solutions Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,EID Parry India Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
ELDERPHARM,Elder Pharmaceuticals Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELNET,Elnet Technologies Limited
EMAMIINFRA,Emami Infrastructure Limited
EMAMILTD,Emami Limited
EMCO,Emco Limited
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
EMPEESUG,Empee Sugars and Chemicals Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
EON,Eon Electric Limited
ERAINFRA,Era Infra Engineering Limited
EROSMEDIA,Eros International Media Limited
ESABINDIA,Esab India Limited
ESCORTS,Escorts Limited
ESL,Electrosteel Steels Limited
ESSAROIL,Essar Oil Limited
ESSARPORTS,Essar Ports Limited
ESSDEE,Ess Dee Aluminium Limited
ESSELPACK,Essel Propack Limited
EUROTEXIND,Eurotex Industries and Exports Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EVERONN,Everonn Education Limited
EXCELINDUS,Excel Industries Limited
EXCELINFO,Excel Infoways Limited
EXIDEIND,Exide Industries Limited
FACT,Fertilizers and Chemicals Travancore Limited
FAGBEARING,FAG Bearings India Limited
FCEL,Future Consumer Enterprise Limited
FDC,FDC Limited
FEDDERLOYD,Fedders Lloyd Corporation Limited
FEDERALBNK,The Federal Bank  Limited
FIEMIND,Fiem Industries Limited
FINANTECH,Financial Technologies (India) Limited
FINCABLES,Finolex Cables Limited
FINPIPE,Finolex Industries Limited
FIRSTLEASE,First Leasing Company of India Limited
FKONCO,Fresenius Kabi Oncology Limited
FLEXITUFF,Flexituff International Limited
FLFL,Future Lifestyle Fashions Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FRL,Future Retail Limited
FRLDVR,Future Retail Limited
FSL,Firstsource Solutions Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,GAIL (India) Limited
GAL,Gyscoal Alloys Limited
GALLANTT,Gallantt Metal Limited
GALLISPAT,Gallantt Ispat Limited
GAMMNINFRA,Gammon Infrastructure Projects Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANESHHOUC,Ganesh Housing Corporation Limited
GARWALLROP,Garware  Wall Ropes Limited
GATI,GATI Limited
GAYAPROJ,Gayatri Projects Limited
GDL,Gateway Distriparks Limited
GEECEE,GeeCee Ventures Limited
GEINDSYS,GEI Industrial Systems Limited
GENESYS,Genesys International Corporation Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITBNPP,Geojit BNP Paribas Financial Services Limited
GEOMETRIC,Geometric Limited
GESHIP,The Great Eastern Shipping Company Limited
GHCL,GHCL Limited
GICHSGFIN,GIC Housing Finance Limited
GILLANDERS,Gillanders Arbuthnot & Company Limited
GILLETTE,Gillette India Limited
GIPCL,Gujarat Industries Power Company Limited
GITANJALI,Gitanjali Gems Limited
GKWLIMITED,GKW Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLOBOFFS,Global Offshore Services Limited
GLOBUSSPR,Globus Spirits Limited
GLORY,Glory Polyfilms Limited
GMBREW,GM Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GMRINFRA,GMR Infrastructure Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON,Goa Carbon Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOENKA,Goenka Diamond and Jewels Limited
GOKUL,Gokul Refoils and Solvent Limited
GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme
GOLDIAM,Goldiam International Limited
GOLDINFRA,Goldstone Infratech Limited
GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund
GOLDTECH,Goldstone Technologies Limited
GPIL,Godawari Power And Ispat limited
GPPL,Gujarat Pipavav Port Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENPLY,Greenply Industries Limited
GREENPOWER,Orient Green Power Company Limited
GRINDWELL,Grindwell Norton Limited
GRUH,Gruh Finance Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
GSPL,Gujarat State Petronet Limited
GSS,GSS Infotech Limited
GTL,GTL Limited
GTLINFRA,GTL Infrastructure Limited
GTNIND,GTN Industries Limited
GTNTEX,GTN Textiles Limited
GTOFFSHORE,GOL Offshore Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
GUJFLUORO,Gujarat Fluorochemicals Limited
GUJNRECOKE,Gujarat NRE Coke Limited
GUJNREDVR,Gujarat NRE Coke Limited
GUJRATGAS,Gujarat Gas Company Limited
GULFOILCOR,Gulf Oil Corporation Limited
GVKPIL,GVK Power & Infrastructure Limited
HARITASEAT,Harita Seating Systems Limited
HARRMALAYA,Harrisons  Malayalam Limited
HATHWAY,Hathway Cable & Datacom Limited
HAVELLS,Havells India Limited
HBLPOWER,HBL Power Systems Limited
HCC,Hindustan Construction Company Limited
HCIL,Himadri Chemicals and Industries Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDFC,Housing Development Finance Corporation Limited
HDFCBANK,HDFC Bank Limited
HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
HDIL,Housing Development and Infrastructure Limited
HEG,HEG Limited
HEIDELBERG,HeidelbergCement India Limited
HELIOSMATH,Helios And Matheson Information Technology Limited
HERCULES,Hercules Hoists Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HEXATRADEX,Hexa Tradex Limited
HEXAWARE,Hexaware Technologies Limited
HFCL,Himachal Futuristic Communications Limited
HGS,Hinduja Global Solutions Limited
HIKAL,Hikal Limited
HIL,HIL Limited
HIMATSEIDE,Himatsingka Seide Limited
HINDALCO,Hindalco Industries Limited
HINDCOMPOS,Hindustan Composites Limited
HINDCOPPER,Hindustan Copper Limited
HINDDORROL,Hindustan Dorr-Oliver Limited
HINDMOTORS,Hindustan Motors Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUJAVEN,Hinduja Ventures Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HIRAFERRO,Hira Ferro Alloys Limited
HIRECT,Hind Rectifiers Limited
HITACHIHOM,Hitachi Home and Life Solutions (India) Limited
HITECHGEAR,Hi-Tech Gears Limited
HITECHPLAS,Hitech Plast Limited
HMT,HMT Limited
HMVL,Hindustan Media Ventures Limited
HNGSNGBEES,Goldman Sachs Hang Seng Exchange Traded Scheme
HOCL,Hindustan Organic Chemicals Limited
HONAUT,Honeywell Automation India Limited
HONDAPOWER,Honda Siel Power Products Limited
HORIZONINF,Horizon Infrastructure Limited
HOTELEELA,Hotel Leela Venture Limited
HOTELRUGBY,Hotel Rugby Limited
HSIL,HSIL Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
HYDROS%26S,Hydro S & S Industries Limited
IBIPL,Indiabulls Infrastructure and Power Limited
IBPOW,Indiabulls Power Limited
IBREALEST,Indiabulls Real Estate Limited
IBSEC,Indiabulls Securities Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
ICICIBANK,ICICI Bank Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
IDEA,Idea Cellular Limited
IDFC,IDFC Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLREFRAC,IFGL Refractories Limited
IGARASHI,Igarashi Motors India Limited
IGL,Indraprastha Gas Limited
IGPL,IG Petrochemicals Limited
IIFLNIFTY,IIFL Mutual Fund - IIFL NIFTY ETF
IL%26FSENGG,IL&FS Engineering and Construction Company Limited
IL%26FSTRANS,IL&FS Transportation Networks Limited
IMFA,Indian Metals & Ferro Alloys Limited
IMPAL,India Motor Parts and Accessories Limited
IMPEXFERRO,Impex Ferro Tech Limited
INDHOTEL,The Indian Hotels Company Limited
INDIACEM,The India Cements Limited
INDIAGLYCO,India Glycols Limited
INDIAINFO,India Infoline Limited
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Limited
INDIANHUME,Indian Hume Pipe Company Limited
INDNIPPON,India Nippon Electricals Limited
INDOCO,Indoco Remedies Limited
INDORAMA,Indo Rama Synthetics (India) Limited
INDOTECH,Indo Tech Transformers Limited
INDOTHAI,Indo Thai Securities Limited
INDOWIND,Indowind Energy Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INDUSFILA,Indus Fila Limited
INDUSINDBK,IndusInd Bank Limited
INFINITE,Infinite Computer Solutions (India) Limited
INFOTECENT,Infotech Enterprises Limited
INFRABEES,Goldman Sachs Infrastructure Exchange Traded Scheme
INFRATEL,Bharti Infratel Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INGVYSYABK,ING Vysya Bank Limited
INNOIND,Innoventive Industries Limited
INOXLEISUR,INOX Leisure Limited
INSECTICID,Insecticides (India) Limited
INTEGRA,Integra Garments and Textiles Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IPCALAB,IPCA Laboratories Limited
IPGETF,ICICI Prudential Mutual Fund - ICICI Prudential Gold ETF
IRB,IRB Infrastructure Developers Limited
ISFT,Intrasoft Technologies Limited
ISMTLTD,ISMT Limited
ITC,ITC Limited
ITDCEM,ITD Cementation India Limited
ITI,ITI Limited
IVC,IL&FS Investment Managers Limited
IVRCLINFRA,IVRCL Limited
J%26KBANK,The Jammu & Kashmir Bank Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAMNAAUTO,Jamna Auto Industries Limited
JAYAGROGN,Jayant Agro Organics Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYNECOIND,Jayaswal Neco Industries Limited
JAYSREETEA,Jayshree Tea & Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
JBFIND,JBF Industries Limited
JENSONICOL,Jenson & Nicholson (India) Limited
JETAIRWAYS,Jet Airways (India) Limited
JHS,JHS Svendgaard Laboratories Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
